"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 12 13:49:53 UTC 2024","Mon Feb 12 13:49:57 UTC 2024","3774","chromium-pc-scheduled","fullNewsAdCheck.scheduled.pc.spec.ts","","","","Displaying ad in the side on the Full News page for https://rus-news.biz/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:49:05 UTC 2024","Mon Feb 12 13:49:15 UTC 2024","9639","chromium-mobile-ci","previewPage.ci.mobile.spec.ts","","","","Click on Picture of preview for https://news-press24.com",""
"passed","Mon Feb 12 13:47:46 UTC 2024","Mon Feb 12 13:47:54 UTC 2024","8579","chromium-pc-ci","previewPage.ci.pc.spec.ts","","","","Click on Button of preview for https://rus-news.net",""
"passed","Mon Feb 12 13:48:57 UTC 2024","Mon Feb 12 13:49:07 UTC 2024","9612","chromium-mobile-ci","previewPage.ci.mobile.spec.ts","","","","Click on Title of preview for https://rus-news.biz",""
"passed","Mon Feb 12 13:49:07 UTC 2024","Mon Feb 12 13:49:13 UTC 2024","6464","chromium-mobile-ci","previewPage.ci.mobile.spec.ts","","","","Click on Title of preview for https://i24-7-news.com",""
"passed","Mon Feb 12 13:49:22 UTC 2024","Mon Feb 12 13:49:30 UTC 2024","7573","chromium-mobile-ci","previewPage.ci.mobile.spec.ts","","","","Click on Picture of preview for https://24newsrf.com",""
"passed","Mon Feb 12 13:51:50 UTC 2024","Mon Feb 12 13:51:54 UTC 2024","4006","chromium-mobile-scheduled","fullNewsAdCheck.scheduled.mobile.spec.ts","","","","Displaying ad in the footer on the Full News page for https://k-24.news/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:50:14 UTC 2024","Mon Feb 12 13:50:21 UTC 2024","7482","chromium-pc-scheduled","fullNewsAdCheck.scheduled.pc.spec.ts","","","","Displaying ad in the middle on the Full News page for https://k-24.news/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:49:58 UTC 2024","Mon Feb 12 13:50:01 UTC 2024","3359","chromium-pc-scheduled","fullNewsAdCheck.scheduled.pc.spec.ts","","","","Displaying ad in the middle on the Full News page for https://news-press24.com/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:47:50 UTC 2024","Mon Feb 12 13:47:58 UTC 2024","7643","chromium-pc-ci","previewPage.ci.pc.spec.ts","","","","Click on Button of preview for https://24newsrf.com",""
